1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
7939, forest, regions_unexplored:maple_forest, MONSTER, undead_revamp2:thewolf, 4, 1, 2
7940, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:silverking, 30, 1, 1
7941, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
7942, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:petriman, 35, 1, 3
7943, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:spectre, 50, 1, 1
7944, forest, regions_unexplored:maple_forest, MONSTER, undead_revamp2:invisiimmortal, 4, 4, 4
7945, forest, regions_unexplored:maple_forest, MONSTER, undead_revamp2:the_moonflower, 2, 1, 1
7946, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:sprinter, 25, 1, 1
7947, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:dreadnought, 1, 1, 1
7948, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:equestrian, 15, 1, 1
7949, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:vampire, 13, 1, 1
7950, forest, regions_unexplored:maple_forest, MONSTER, undead_revamp2:theordure, 4, 1, 1
7951, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:senior, 18, 1, 1
7952, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
7953, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:slugger, 20, 1, 1
7954, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
7955, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:tarantula, 40, 1, 1
7956, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:huntsmanskeleton, 40, 1, 2
7957, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
7958, forest, regions_unexplored:maple_forest, MONSTER, undead_revamp2:slaveman, 1, 1, 1
7959, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:caster, 10, 1, 1
7960, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
7961, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
7962, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
7963, forest, regions_unexplored:maple_forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
7964, forest, regions_unexplored:maple_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
7965, forest, regions_unexplored:maple_forest, MONSTER, alexsmobs:murmur, 5, 1, 1
7966, forest, regions_unexplored:maple_forest, MONSTER, undead_revamp2:thehorrorsdecoys, 3, 1, 2
7967, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:skeleton_demoman, 8, 1, 1
7968, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:wolfsbane, 15, 1, 1
7969, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
7970, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 8, 1, 1
7971, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
7972, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:errant, 30, 1, 2
7973, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:zobgoblin, 25, 1, 3
7974, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
7975, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:gallant, 25, 1, 1
7976, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
7977, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:cockatrice, 15, 1, 1
7978, forest, regions_unexplored:maple_forest, MONSTER, enemyexpansion:goblin, 35, 1, 3
7979, forest, regions_unexplored:maple_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 6, 1, 1
7980, forest, regions_unexplored:maple_forest, CREATURE, minecraft:pig, 10, 4, 4
7981, forest, regions_unexplored:maple_forest, CREATURE, minecraft:chicken, 10, 4, 4
7982, forest, regions_unexplored:maple_forest, CREATURE, minecraft:wolf, 5, 4, 4
7983, forest, regions_unexplored:maple_forest, CREATURE, minecraft:pig, 5, 1, 2
7984, forest, regions_unexplored:maple_forest, CREATURE, minecraft:pig, 15, 1, 1
7985, forest, regions_unexplored:maple_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
7986, forest, regions_unexplored:maple_forest, CREATURE, earthmobsmod:hyper_rabbit, 5, 3, 4
7987, forest, regions_unexplored:maple_forest, CREATURE, earthmobsmod:jumbo_rabbit, 5, 3, 4
7988, forest, regions_unexplored:maple_forest, CREATURE, enemyexpansion:flutterfly, 5, 1, 2
7989, forest, regions_unexplored:maple_forest, CREATURE, environmental:deer, 16, 4, 4
7990, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
7991, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
7992, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:crow, 10, 3, 5
7993, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
7994, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:skunk, 7, 1, 2
7995, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
7996, forest, regions_unexplored:maple_forest, CREATURE, minecraft:pig, 25, 1, 4
7997, forest, regions_unexplored:maple_forest, AMBIENT, minecraft:bat, 5, 8, 8
7998, forest, regions_unexplored:maple_forest, AMBIENT, alexsmobs:fly, 3, 1, 1
7999, forest, regions_unexplored:maple_forest, AMBIENT, alexsmobs:cockroach, 4, 5, 5
8000, forest, regions_unexplored:maple_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
8001, forest, regions_unexplored:maple_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
8002, forest, regions_unexplored:maple_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 3, 1, 1
8003, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:gar, 3, 1, 2
8004, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 6
8005, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
8006, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:red_grouper, 3, 1, 2
8007, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
8008, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
8009, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
8010, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:jellyfish, 3, 1, 3
8011, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:tuna, 1, 1, 1
8012, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:perch, 3, 1, 6
8013, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
8014, forest, regions_unexplored:maple_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 2, 5
8015, forest, regions_unexplored:maple_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
8016, forest, regions_unexplored:maple_forest, rascals, friendsandfoes:rascal, 5, 1, 1
8017, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:spider, 70, 4, 4
8018, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:zombie, 70, 4, 4
8019, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:zombie_villager, 5, 1, 1
8020, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:skeleton, 70, 4, 4
8021, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:creeper, 70, 4, 4
8022, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:slime, 50, 4, 4
8023, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:enderman, 15, 1, 4
8024, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:witch, 5, 1, 1
8025, forest, regions_unexplored:mauve_hills, MONSTER, rottencreatures:undead_miner, 25, 1, 4
8026, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:rancher, 30, 1, 2
8027, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
8028, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:supreme_bonescaller, 3, 1, 1
8029, forest, regions_unexplored:mauve_hills, MONSTER, irons_spellbooks:necromancer, 20, 1, 1
8030, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:invisiblebidy, 8, 1, 4
8031, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thehorrors, 2, 1, 1
8032, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:mr_pumpkin, 2, 1, 3
8033, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:skeleton_thrasher, 8, 1, 1
8034, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:door_knight, 20, 1, 1
8035, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
8036, forest, regions_unexplored:mauve_hills, MONSTER, earthmobsmod:lobber_zombie, 20, 3, 4
8037, forest, regions_unexplored:mauve_hills, MONSTER, earthmobsmod:bouldering_zombie, 20, 4, 4
8038, forest, regions_unexplored:mauve_hills, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
8039, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
8040, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
8041, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:sucker, 7, 2, 3
8042, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
8043, forest, regions_unexplored:mauve_hills, MONSTER, minecraft:illusioner, 15, 1, 1
8044, forest, regions_unexplored:mauve_hills, MONSTER, majruszsdifficulty:tank, 3, 1, 1
8045, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:meature, 3, 1, 4
8046, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
8047, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
8048, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:spirit_guide, 20, 1, 1
8049, forest, regions_unexplored:mauve_hills, MONSTER, quark:stoneling, 70, 1, 1
8050, forest, regions_unexplored:mauve_hills, MONSTER, quark:toretoise, 40, 2, 4
8051, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:corpse_fly, 1, 1, 3
8052, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thehunter, 6, 2, 4
8053, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:bomber, 7, 1, 2
8054, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thegliter, 20, 2, 4
8055, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:nightmare_stalker, 4, 1, 1
8056, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:theswarmer, 8, 1, 1
8057, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thebidy, 1, 3, 4
8058, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
8059, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:theheavy, 1, 1, 1
8060, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thebeartamer, 8, 1, 1
8061, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
8062, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:gabble, 15, 1, 1
8063, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thespitter, 7, 1, 1
8064, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:crawler, 35, 1, 1
8065, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:seared_spirit, 2, 1, 1
8066, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thepregnant, 2, 1, 1
8067, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thewolf, 4, 1, 2
8068, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:silverking, 30, 1, 1
8069, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
8070, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:petriman, 35, 1, 3
8071, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:spectre, 50, 1, 1
8072, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:invisiimmortal, 4, 4, 4
8073, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:the_moonflower, 2, 1, 1
8074, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:sprinter, 25, 1, 1
8075, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:dreadnought, 1, 1, 1
8076, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:equestrian, 15, 1, 1
8077, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:vampire, 13, 1, 1
8078, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:theordure, 4, 1, 1
8079, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:senior, 18, 1, 1
8080, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
8081, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:slugger, 20, 1, 1
8082, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
8083, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:tarantula, 40, 1, 1
8084, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:huntsmanskeleton, 40, 1, 2
8085, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
8086, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:slaveman, 1, 1, 1
8087, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:caster, 10, 1, 1
8088, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
8089, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
8090, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
8091, forest, regions_unexplored:mauve_hills, MONSTER, alexsmobs:centipede_head, 8, 1, 1
8092, forest, regions_unexplored:mauve_hills, MONSTER, alexsmobs:farseer, 30, 1, 1
8093, forest, regions_unexplored:mauve_hills, MONSTER, alexsmobs:murmur, 5, 1, 1
8094, forest, regions_unexplored:mauve_hills, MONSTER, undead_revamp2:thehorrorsdecoys, 3, 1, 2
8095, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:skeleton_demoman, 8, 1, 1
8096, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:wolfsbane, 15, 1, 1
8097, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
8098, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:phantom_creeper, 8, 1, 1
8099, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
8100, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:errant, 30, 1, 2
8101, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:zobgoblin, 25, 1, 3
8102, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
8103, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:gallant, 25, 1, 1
8104, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
8105, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:cockatrice, 15, 1, 1
8106, forest, regions_unexplored:mauve_hills, MONSTER, enemyexpansion:goblin, 35, 1, 3
8107, forest, regions_unexplored:mauve_hills, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 6, 1, 1
8108, forest, regions_unexplored:mauve_hills, CREATURE, minecraft:pig, 10, 4, 4
8109, forest, regions_unexplored:mauve_hills, CREATURE, minecraft:chicken, 10, 4, 4
8110, forest, regions_unexplored:mauve_hills, CREATURE, minecraft:chicken, 10, 4, 4
8111, forest, regions_unexplored:mauve_hills, CREATURE, minecraft:pig, 5, 1, 2
8112, forest, regions_unexplored:mauve_hills, CREATURE, minecraft:pig, 15, 1, 1
8113, forest, regions_unexplored:mauve_hills, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
8114, forest, regions_unexplored:mauve_hills, CREATURE, earthmobsmod:hyper_rabbit, 5, 3, 4
8115, forest, regions_unexplored:mauve_hills, CREATURE, earthmobsmod:jumbo_rabbit, 5, 3, 4
8116, forest, regions_unexplored:mauve_hills, CREATURE, enemyexpansion:flutterfly, 5, 1, 2
8117, forest, regions_unexplored:mauve_hills, CREATURE, environmental:deer, 16, 4, 4
8118, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
8119, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:raccoon, 10, 2, 4
8120, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:crow, 10, 3, 5
8121, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
8122, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:skunk, 7, 1, 2
8123, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:blue_jay, 16, 2, 4
8124, forest, regions_unexplored:mauve_hills, CREATURE, minecraft:pig, 25, 1, 4
8125, forest, regions_unexplored:mauve_hills, AMBIENT, minecraft:bat, 5, 8, 8
8126, forest, regions_unexplored:mauve_hills, AMBIENT, alexsmobs:fly, 3, 1, 1
8127, forest, regions_unexplored:mauve_hills, AMBIENT, alexsmobs:cockroach, 4, 5, 5
8128, forest, regions_unexplored:mauve_hills, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
8129, forest, regions_unexplored:mauve_hills, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
8130, forest, regions_unexplored:mauve_hills, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 3, 1, 1
8131, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:gar, 3, 1, 2
8132, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:bluegill, 3, 1, 6
8133, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:brown_trout, 3, 1, 3
8134, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:red_grouper, 3, 1, 2
8135, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:minnow, 3, 1, 3
8136, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
8137, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
8138, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:jellyfish, 3, 1, 3
8139, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:tuna, 1, 1, 1
8140, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:perch, 3, 1, 6
8141, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:carp, 3, 1, 3
8142, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 3, 2, 5
8143, forest, regions_unexplored:mauve_hills, WATER_AMBIENT, aquaculture:smallmouth_bass, 3, 1, 3
8144, forest, regions_unexplored:mauve_hills, rascals, friendsandfoes:rascal, 5, 1, 1
8145, forest, regions_unexplored:orchard, MONSTER, minecraft:spider, 70, 4, 4
8146, forest, regions_unexplored:orchard, MONSTER, minecraft:zombie, 70, 4, 4
8147, forest, regions_unexplored:orchard, MONSTER, minecraft:zombie_villager, 5, 1, 1
8148, forest, regions_unexplored:orchard, MONSTER, minecraft:skeleton, 70, 4, 4
8149, forest, regions_unexplored:orchard, MONSTER, minecraft:creeper, 70, 4, 4
8150, forest, regions_unexplored:orchard, MONSTER, minecraft:slime, 50, 4, 4
8151, forest, regions_unexplored:orchard, MONSTER, minecraft:enderman, 15, 1, 4
8152, forest, regions_unexplored:orchard, MONSTER, minecraft:witch, 5, 1, 1
8153, forest, regions_unexplored:orchard, MONSTER, rottencreatures:undead_miner, 25, 1, 4
8154, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:rancher, 30, 1, 2
8155, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
8156, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:supreme_bonescaller, 3, 1, 1
8157, forest, regions_unexplored:orchard, MONSTER, irons_spellbooks:necromancer, 20, 1, 1
8158, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:invisiblebidy, 8, 1, 4
8159, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thehorrors, 2, 1, 1
8160, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:mr_pumpkin, 2, 1, 3
8161, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:skeleton_thrasher, 8, 1, 1
8162, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:door_knight, 20, 1, 1
8163, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
8164, forest, regions_unexplored:orchard, MONSTER, earthmobsmod:lobber_zombie, 20, 3, 4
8165, forest, regions_unexplored:orchard, MONSTER, earthmobsmod:bouldering_zombie, 20, 4, 4
8166, forest, regions_unexplored:orchard, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
8167, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
8168, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
8169, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:sucker, 7, 2, 3
8170, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
8171, forest, regions_unexplored:orchard, MONSTER, minecraft:illusioner, 15, 1, 1
8172, forest, regions_unexplored:orchard, MONSTER, majruszsdifficulty:tank, 3, 1, 1
8173, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:meature, 3, 1, 4
8174, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
8175, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
8176, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:spirit_guide, 20, 1, 1
8177, forest, regions_unexplored:orchard, MONSTER, quark:stoneling, 70, 1, 1
8178, forest, regions_unexplored:orchard, MONSTER, quark:toretoise, 40, 2, 4
8179, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:corpse_fly, 1, 1, 3
8180, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thehunter, 6, 2, 4
8181, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:bomber, 7, 1, 2
8182, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thegliter, 20, 2, 4
8183, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:nightmare_stalker, 4, 1, 1
8184, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:theswarmer, 8, 1, 1
8185, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thebidy, 1, 3, 4
8186, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
8187, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:theheavy, 1, 1, 1
8188, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thebeartamer, 8, 1, 1
8189, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
8190, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:gabble, 15, 1, 1
8191, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thespitter, 7, 1, 1
8192, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:crawler, 35, 1, 1
8193, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:seared_spirit, 2, 1, 1
8194, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thepregnant, 2, 1, 1
8195, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:thewolf, 4, 1, 2
8196, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:silverking, 30, 1, 1
8197, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
8198, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:petriman, 35, 1, 3
8199, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:spectre, 50, 1, 1
8200, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:invisiimmortal, 4, 4, 4
8201, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:the_moonflower, 2, 1, 1
8202, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:sprinter, 25, 1, 1
8203, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:dreadnought, 1, 1, 1
8204, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:equestrian, 15, 1, 1
8205, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:vampire, 13, 1, 1
8206, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:theordure, 4, 1, 1
8207, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:senior, 18, 1, 1
8208, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
8209, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:slugger, 20, 1, 1
8210, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
8211, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:tarantula, 40, 1, 1
8212, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:huntsmanskeleton, 40, 1, 2
8213, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
8214, forest, regions_unexplored:orchard, MONSTER, undead_revamp2:slaveman, 1, 1, 1
8215, forest, regions_unexplored:orchard, MONSTER, enemyexpansion:caster, 10, 1, 1
8216, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
8217, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
8218, forest, regions_unexplored:orchard, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
8219, forest, regions_unexplored:orchard, MONSTER, alexsmobs:centipede_head, 8, 1, 1
