1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
355, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
356, terralith:zpointer/terralith_skylands_summer, HEADING, header:ignore, 0, 0, 0
357, terralith:zpointer/minecraft_snowy_taiga, HEADING, header:ignore, 0, 0, 0
358, terralith:zpointer/terralith_alpha_islands_winter, HEADING, header:ignore, 0, 0, 0
359, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
360, terralith:zpointer/terralith_skylands_autumn, HEADING, header:ignore, 0, 0, 0
361, terralith:zpointer/minecraft_meadow, HEADING, header:ignore, 0, 0, 0
362, terralith:zpointer/terralith_amethyst_canyon, HEADING, header:ignore, 0, 0, 0
363, terralith:zpointer/minecraft_windswept_savanna, HEADING, header:ignore, 0, 0, 0
364, terralith:zpointer/terralith_hot_shrubland, HEADING, header:ignore, 0, 0, 0
365, terralith:zpointer/minecraft_eroded_badlands, HEADING, header:ignore, 0, 0, 0
366, terralith:zpointer/terralith_yosemite_cliffs, HEADING, header:ignore, 0, 0, 0
367, terralith:zpointer/terralith_orchid_swamp, HEADING, header:ignore, 0, 0, 0
368, terralith:zpointer/terralith_ancient_sands, HEADING, header:ignore, 0, 0, 0
369, terralith:zpointer/terralith_alpine_highlands, HEADING, header:ignore, 0, 0, 0
370, terralith:zpointer/terralith_gravel_beach, HEADING, header:ignore, 0, 0, 0
371, terralith:zpointer/minecraft_swamp, HEADING, header:ignore, 0, 0, 0
372, terralith:zpointer/terralith_shield, HEADING, header:ignore, 0, 0, 0
373, terralith:zpointer/terralith_basalt_cliffs, HEADING, header:ignore, 0, 0, 0
374, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
375, terralith:zpointer/minecraft_windswept_hills, HEADING, header:ignore, 0, 0, 0
376, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
377, terralith:zpointer/terralith_skylands, HEADING, header:ignore, 0, 0, 0
378, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
379, terralith:zpointer/terralith_brushland, HEADING, header:ignore, 0, 0, 0
380, terralith:zpointer/terralith_forested_highlands, HEADING, header:ignore, 0, 0, 0
381, terralith:zpointer/terralith_alpha_islands, HEADING, header:ignore, 0, 0, 0
382, terralith:zpointer/terralith_caldera, HEADING, header:ignore, 0, 0, 0
